title,year,length,worldwide_revenue,domestic_revenue,domestic_percent,foreign_revenue,foreign_percent,number_ratings,average_rating,genres
Beauty and the Beast,2017,129,1263.52,504.01,0.4,759.51,0.6,495549,3.1,"Romance, Fantasy, Family"
The Fate of the Furious,2017,136,1236.01,226.01,0.18,1010.0,0.82,229455,2.7,"Crime, Action, Thriller"
Despicable Me 3,2017,90,1034.8,264.62,0.26,770.18,0.74,278201,2.6,"Action, Animation, Family"
Jumanji: Welcome to the Jungle,2017,119,962.08,404.52,0.42,557.56,0.58,674676,3.1,"Fantasy, Adventure, Comedy"
Spider-Man: Homecoming,2017,133,880.17,334.2,0.38,545.97,0.62,1688069,3.5,"Action, Drama, Adventure"
Wolf Warrior 2,2017,124,870.33,2.72,0.0,867.6,1.0,4235,2.7,"Action, War, Thriller"
Guardians of the Galaxy Vol. 2,2017,137,863.76,389.81,0.45,473.94,0.55,1384702,3.5,"Action, Science Fiction, Adventure"
Thor: Ragnarok,2017,131,853.98,315.06,0.37,538.92,0.63,1565028,3.7,"Adventure, Action, Science Fiction"
Wonder Woman,2017,141,822.96,412.56,0.5,410.4,0.5,867491,3.3,"Action, Fantasy, Adventure"
Coco,2017,105,814.64,210.46,0.26,604.18,0.74,1729448,4.1,"Adventure, Animation, Music"
Pirates of the Caribbean: Dead Men Tell No Tales,2017,128,794.86,172.56,0.22,622.3,0.78,378293,2.7,"Action, Fantasy, Adventure"
It,2017,135,702.78,327.48,0.47,375.3,0.53,1553979,3.4,"Horror, The Undead And Monster Classics, Intense Violence And Sexual Transgression"
Justice League,2017,120,661.32,229.02,0.35,432.3,0.65,503005,1.9,"Adventure, Science Fiction, Action"
Logan,2017,137,619.02,226.28,0.37,392.74,0.63,1054232,4.1,"Drama, Science Fiction, Action"
Transformers: The Last Knight,2017,154,605.43,130.17,0.22,475.26,0.78,154826,1.9,"Science Fiction, Action, Adventure"
Kong: Skull Island,2017,118,568.65,168.05,0.3,400.6,0.7,438175,3.1,"Action, Adventure, Fantasy"
The Boss Baby,2017,97,527.97,175.0,0.33,352.96,0.67,228287,2.5,"Animation, Comedy, Family"
Dunkirk,2017,107,526.05,188.05,0.36,338.0,0.64,1295362,3.8,"Action, Drama, War"
War for the Planet of the Apes,2017,140,490.72,146.88,0.3,343.84,0.7,503794,3.8,"War, Drama, Science Fiction"
The Greatest Showman,2017,105,434.99,174.34,0.4,260.65,0.6,676244,3.4,"Drama, Song And Dance, Dazzling Vocal Performances And Musicals"
Kingsman: The Golden Circle,2017,141,410.9,100.23,0.24,310.67,0.76,509734,3.1,"Adventure, Action, Comedy"
The Mummy,2017,111,409.23,80.23,0.2,329.0,0.8,148354,1.9,"Action, Horror, Thriller"
Cars 3,2017,102,383.93,152.9,0.4,231.03,0.6,326329,3.0,"Animation, Comedy, Family"
Fifty Shades Darker,2017,118,381.55,114.58,0.3,266.96,0.7,117677,1.9,"Drama, Romance, Moving Relationship Stories"
Murder on the Orient Express,2017,114,352.79,102.83,0.29,249.96,0.71,397983,3.1,"Crime, Mystery, Drama"
xXx: Return of Xander Cage,2017,107,346.12,44.9,0.13,301.22,0.87,45973,2.2,"Action, Crime, Adventure"
Never Say Die,2017,100,334.53,0.0,0.0,334.53,1.0,542,3.0,"Comedy, Fantasy"
The Lego Batman Movie,2017,104,312.15,175.75,0.56,136.4,0.44,553817,3.9,"Comedy, Animation, Family"
Annabelle: Creation,2017,110,306.59,102.09,0.33,204.5,0.67,205549,3.0,"Horror, The Undead And Monster Classics, Terrifying"
Wonder,2017,113,305.94,132.42,0.43,173.51,0.57,360633,3.5,"Family, Drama, Moving Relationship Stories"
Ferdinand,2017,108,296.07,84.41,0.28,211.66,0.72,60028,3.0,"Family, Adventure, Comedy"
Blade Runner 2049,2017,164,259.15,92.05,0.36,167.1,0.64,1411904,4.1,"Science Fiction, Drama, Humanity And The World Around Us"
Kung Fu Yoga,2017,107,257.74,0.36,0.0,257.38,1.0,4560,2.2,"Action, Adventure, Comedy"
Get Out,2017,104,255.41,176.04,0.69,79.37,0.31,2706282,4.2,"Horror, Mystery, Thriller"
Journey to the West: The Demons Strike Back,2017,109,247.59,0.88,0.0,246.7,1.0,1718,2.7,"Fantasy, Action, Adventure"
Alien: Covenant,2017,122,240.89,74.26,0.31,166.63,0.69,369071,3.0,"Science Fiction, Thriller, Horror"
Paddington 2,2017,104,227.29,40.89,0.18,186.4,0.82,399068,4.2,"Family, Adventure, Comedy"
Youth,2017,136,227.09,1.89,0.01,225.2,0.99,2495,3.5,"History, Drama"
Youth,2017,90,227.09,1.89,0.01,225.2,0.99,464,3.6,Drama
Baby Driver,2017,113,226.95,107.83,0.48,119.12,0.52,1933993,3.7,"Crime, Action, Drugs And Gangsters"
Valerian and the City of a Thousand Planets,2017,137,225.87,41.19,0.18,184.68,0.82,167527,2.6,"Action, Adventure, Science Fiction"
Geostorm,2017,109,221.9,33.7,0.15,188.2,0.85,80718,2.0,"Science Fiction, Thriller, Action"
The Emoji Movie,2017,86,217.78,86.09,0.4,131.69,0.6,190131,1.3,"Animation, Family, Comedy"
Smurfs: The Lost Village,2017,89,197.18,45.02,0.23,152.16,0.77,37658,2.4,"Family, Animation, Adventure"
The Shape of Water,2017,123,195.24,63.86,0.33,131.38,0.67,788333,3.7,"Fantasy, Drama, Romance"
Pitch Perfect 3,2017,93,185.4,104.9,0.57,80.5,0.43,184196,2.5,"Music, Comedy, Relationship Comedy"
The Post,2017,116,179.77,81.9,0.46,97.87,0.54,188344,3.5,"History, Drama, Politics And Human Rights"
Baywatch,2017,116,177.86,58.06,0.33,119.8,0.67,219970,2.2,"Action, Crime, Comedy"
John Wick: Chapter 2,2017,122,171.54,92.03,0.54,79.51,0.46,748529,3.7,"Crime, Action, Thriller"
Ghost in the Shell,2017,107,169.8,40.56,0.24,129.24,0.76,162183,2.6,"Drama, Action, Science Fiction"
"Three Billboards Outside Ebbing, Missouri",2017,115,160.06,54.51,0.34,105.55,0.66,634983,4.0,"Crime, Drama, Moving Relationship Stories"
Duckweed,2017,102,152.89,0.47,0.0,152.42,1.0,743,3.2,"Drama, Comedy"
Darkest Hour,2017,125,150.85,56.47,0.37,94.38,0.63,190965,3.5,"Drama, History, War And Historical Adventure"
