title,year,number_ratings,average_rating,length,genres
Get Out,2017,2706282,4.2,104,"Horror, Mystery, Thriller"
Lady Bird,2017,2062281,3.8,94,"Comedy, Drama, Moving Relationship Stories"
Call Me by Your Name,2017,1687099,3.9,132,"Romance, Drama, Moving Relationship Stories"
Baby Driver,2017,1933993,3.7,113,"Crime, Action, Drugs And Gangsters"
Blade Runner 2049,2017,1411904,4.1,164,"Science Fiction, Drama, Humanity And The World Around Us"
Coco,2017,1729448,4.1,105,"Adventure, Animation, Music"
Spider-Man: Homecoming,2017,1688069,3.5,133,"Action, Drama, Adventure"
Thor: Ragnarok,2017,1565028,3.7,131,"Adventure, Action, Science Fiction"
It,2017,1553979,3.4,135,"Horror, The Undead And Monster Classics, Intense Violence And Sexual Transgression"
Dunkirk,2017,1295362,3.8,107,"Action, Drama, War"
Guardians of the Galaxy Vol. 2,2017,1384702,3.5,137,"Action, Science Fiction, Adventure"
Logan,2017,1054232,4.1,137,"Drama, Science Fiction, Action"
"I, Tonya",2017,835438,3.9,120,"Drama, Comedy, Moving Relationship Stories"
Star Wars: The Last Jedi,2017,1119437,3.0,152,"Adventure, Action, Science Fiction"
The Florida Project,2017,646873,4.1,112,"Drama, Humanity And The World Around Us, Emotional And Touching Family Dramas"
The Shape of Water,2017,788333,3.7,123,"Fantasy, Drama, Romance"
The Killing of a Sacred Deer,2017,602436,3.7,121,"Thriller, Mystery, Drama"
mother!,2017,635897,3.5,121,"Drama, Horror, Thriller"
Wonder Woman,2017,867491,3.3,141,"Action, Fantasy, Adventure"
John Wick: Chapter 2,2017,748529,3.7,122,"Crime, Action, Thriller"
Good Time,2017,550747,4.0,102,"Thriller, Crime, Drugs And Gangsters"
"Three Billboards Outside Ebbing, Missouri",2017,634983,4.0,115,"Crime, Drama, Moving Relationship Stories"
The Greatest Showman,2017,676244,3.4,105,"Drama, Song And Dance, Dazzling Vocal Performances And Musicals"
Phantom Thread,2017,415919,4.1,130,"Drama, Romance, Humanity And The World Around Us"
The Lego Batman Movie,2017,553817,3.9,104,"Comedy, Animation, Family"
Jumanji: Welcome to the Jungle,2017,674676,3.1,119,"Fantasy, Adventure, Comedy"
War for the Planet of the Apes,2017,503794,3.8,140,"War, Drama, Science Fiction"
Paddington 2,2017,399068,4.2,104,"Family, Adventure, Comedy"
Okja,2017,376305,3.7,122,"Drama, Science Fiction, Adventure"
Kingsman: The Golden Circle,2017,509734,3.1,141,"Adventure, Action, Comedy"
A Ghost Story,2017,276481,3.8,93,"Fantasy, Drama, Moving Relationship Stories"
Beauty and the Beast,2017,495549,3.1,129,"Romance, Fantasy, Family"
Justice League,2017,503005,1.9,120,"Adventure, Science Fiction, Action"
The Disaster Artist,2017,352162,3.6,104,"Drama, Comedy, Crude Humor And Satire"
Happy Death Day,2017,417770,3.0,97,"Mystery, Horror, Comedy"
Murder on the Orient Express,2017,397983,3.1,114,"Crime, Mystery, Drama"
Alien: Covenant,2017,369071,3.0,122,"Science Fiction, Thriller, Horror"
Kong: Skull Island,2017,438175,3.1,118,"Action, Adventure, Fantasy"
First Reformed,2017,217514,4.0,113,"Drama, Faith And Religion, Humanity And The World Around Us"
Loving Vincent,2017,196167,4.0,95,"Drama, Animation, History"
You Were Never Really Here,2017,231567,3.7,89,"Drama, Thriller, Crime"
Pirates of the Caribbean: Dead Men Tell No Tales,2017,378293,2.7,128,"Action, Fantasy, Adventure"
Wonder,2017,360633,3.5,113,"Family, Drama, Moving Relationship Stories"
Cars 3,2017,326329,3.0,102,"Animation, Comedy, Family"
Wind River,2017,244101,3.8,107,"Thriller, Western, Mystery"
The Ritual,2017,252257,3.2,94,"Horror, Mystery, Thriller"
Logan Lucky,2017,236329,3.5,118,"Comedy, Crime, Crude Humor And Satire"
Columbus,2017,107857,4.0,104,"Drama, Moving Relationship Stories, Humanity And The World Around Us"
Atomic Blonde,2017,220500,3.3,115,"Thriller, Adventure, Action"
The Big Sick,2017,226405,3.8,120,"Drama, Comedy, Romance"
The Babysitter,2017,272130,2.7,85,"Horror, Comedy, Crude Humor And Satire"
It Comes at Night,2017,192246,3.2,91,"Drama, Mystery, Horror"
The Death of Stalin,2017,203304,3.8,107,"Drama, Comedy, History"
Gerald’s Game,2017,226236,3.1,104,"Thriller, Horror, The Undead And Monster Classics"
The Beguiled,2017,144138,3.3,93,"Drama, Moving Relationship Stories, Erotic Relationships And Desire"
Despicable Me 3,2017,278201,2.6,90,"Action, Animation, Family"
Thoroughbreds,2017,143703,3.5,92,"Thriller, Drama, Intense Violence And Sexual Transgression"
The Post,2017,188344,3.5,116,"History, Drama, Politics And Human Rights"
Life,2017,227750,3.0,104,"Science Fiction, Thriller, Horror"
Molly’s Game,2017,206916,3.6,140,"Drama, Crime, Drugs And Gangsters"
