title,year,number_ratings,average_rating,length,genres
Spider-Man: Into the Spider-Verse,2018,2764289,4.4,117,"Adventure, Animation, Science Fiction"
Avengers: Infinity War,2018,2174852,4.0,149,"Action, Science Fiction, Adventure"
Hereditary,2018,1722359,4.0,128,"Thriller, Horror, Mystery"
Black Panther,2018,1875107,3.7,135,"Adventure, Science Fiction, Action"
A Quiet Place,2018,1392279,3.6,91,"Drama, Science Fiction, Horror"
Bohemian Rhapsody,2018,1225300,3.4,135,"Drama, Music, Moving Relationship Stories"
Deadpool 2,2018,1188409,3.5,120,"Action, Comedy, Adventure"
Beautiful Boy,2018,706094,3.9,119,"Drama, Moving Relationship Stories, Powerful Stories Of Heartbreak And Suffering"
The Favourite,2018,718578,4.0,120,"Thriller, Drama, Comedy"
BlacKkKlansman,2018,835688,3.9,136,"Drama, Comedy, Crime"
Isle of Dogs,2018,712069,4.0,101,"Comedy, Animation, Adventure"
Incredibles 2,2018,972661,3.4,118,"Animation, Adventure, Family"
Venom,2018,895851,2.9,112,"Science Fiction, Action, Monsters"
A Star Is Born,2018,770071,3.6,136,"Music, Romance, Drama"
Annihilation,2018,700546,3.6,115,"Horror, Science Fiction, Monsters"
Ant-Man and the Wasp,2018,828047,2.9,119,"Adventure, Action, Science Fiction"
Ready Player One,2018,792246,3.3,140,"Science Fiction, Action, Adventure"
Green Book,2018,659874,3.8,130,"Drama, History, Moving Relationship Stories"
mid90s,2018,530452,3.8,86,"Drama, Comedy, Underdogs And Coming Of Age"
Bird Box,2018,808229,2.9,124,"Thriller, Drama, Horror"
Suspiria,2018,402911,3.7,152,"Mystery, Drama, Horror"
Crazy Rich Asians,2018,609802,3.5,121,"Comedy, Romance, Relationship Comedy"
Ocean’s Eight,2018,611927,3.3,111,"Crime, Action, Comedy"
Sorry to Bother You,2018,418473,3.7,112,"Fantasy, Science Fiction, Comedy"
Solo: A Star Wars Story,2018,601420,2.9,135,"Science Fiction, Adventure, Action"
Roma,2018,385897,4.1,135,"Drama, Humanity And The World Around Us, Moving Relationship Stories"
Aquaman,2018,612619,2.8,143,"Fantasy, Action, Adventure"
Eighth Grade,2018,384447,3.8,94,"Comedy, Drama, Underdogs And Coming Of Age"
