title,year,number_ratings,average_rating,length,genres
Get Out,2017,"Weighted average of 4.16 based on 2,706,282 ratings",4.2,104 mins   More at IMDB TMDB,"Horror, Mystery, Thriller, Horror, The Undead And Monster Classics, Intense Violence And Sexual Transgression, Twisted Dark Psychological Thriller, Terrifying, Haunted, And Supernatural Horror, Creepy, Chilling, And Terrifying Horror, Gory, Gruesome, And Slasher Horror, Racism And The Powerful Fight For Justice, Show All…"
Lady Bird,2017,"Weighted average of 3.85 based on 2,062,281 ratings",3.8,94 mins   More at IMDB TMDB,"Comedy, Drama, Moving Relationship Stories, Underdogs And Coming Of Age, Humanity And The World Around Us, Touching And Sentimental Family Stories, Emotional And Touching Family Dramas, Emotional Teen Coming-Of-Age Stories, Quirky And Endearing Relationships, Powerful Stories Of Heartbreak And Suffering, Show All…"
Call Me by Your Name,2017,"Weighted average of 3.85 based on 1,687,099 ratings",3.9,132 mins   More at IMDB TMDB,"Romance, Drama, Moving Relationship Stories, Humanity And The World Around Us, Emotional LGBTQ Relationships, Captivating Relationships And Charming Romance, Touching And Sentimental Family Stories, Emotional Teen Coming-Of-Age Stories, Passion And Romance, Show All…"
Baby Driver,2017,"Weighted average of 3.71 based on 1,933,993 ratings",3.7,113 mins   More at IMDB TMDB,"Crime, Action, Crime, Drugs And Gangsters, Song And Dance, High Speed And Special Ops, Relationship Comedy, Heists And Thrilling Action, Adrenaline-Fueled Action And Fast Cars, Violent Action, Guns, And Crime, Explosive And Action-Packed Heroes Vs. Villains, Gritty Crime And Ruthless Gangsters, Show All…"
Blade Runner 2049,2017,"Weighted average of 4.12 based on 1,411,904 ratings",4.1,164 mins   More at IMDB TMDB,"Science Fiction, Drama, Humanity And The World Around Us, Monsters, Aliens, Sci-Fi And The Apocalypse, Thought-Provoking Sci-Fi Action And Future Technology, Surreal And Thought-Provoking Visions Of Life And Death, Emotional And Captivating Fantasy Storytelling, Intriguing And Suspenseful Murder Mysteries, Show All…"
Coco,2017,"Weighted average of 4.12 based on 1,729,448 ratings",4.1,105 mins   More at IMDB TMDB,"Adventure, Animation, Music, Family, Moving Relationship Stories, Song And Dance, Humanity And The World Around Us, Holiday Joy And Heartwarming Christmas, Adorable Animals And Heartwarming Families, Fairy-Tale Fantasy And Enchanted Magic, Emotional And Captivating Fantasy Storytelling, Emotional And Touching Family Dramas, Show All…"
Spider-Man: Homecoming,2017,"Weighted average of 3.47 based on 1,688,069 ratings",3.5,133 mins   More at IMDB TMDB,"Action, Drama, Adventure, Science Fiction, Epic Heroes, Underdogs And Coming Of Age, Superheroes In Action-Packed Battles With Villains, Action Comedy And Silly Heroics, Explosive And Action-Packed Heroes Vs. Villains, Teen School Antics And Laughter, Show All…"
Thor: Ragnarok,2017,"Weighted average of 3.72 based on 1,565,028 ratings",3.7,131 mins   More at IMDB TMDB,"Adventure, Action, Science Fiction, Epic Heroes, Crude Humor And Satire, Monsters, Aliens, Sci-Fi And The Apocalypse, Superheroes In Action-Packed Battles With Villains, Action Comedy And Silly Heroics, Fantasy Adventure, Heroism, And Swordplay, Gags, Jokes, And Slapstick Humor, Amusing Jokes And Witty Satire, Show All…"
It,2017,"Weighted average of 3.43 based on 1,553,979 ratings",3.4,135 mins   More at IMDB TMDB,"Horror, Horror, The Undead And Monster Classics, Intense Violence And Sexual Transgression, Terrifying, Haunted, And Supernatural Horror, Creepy, Chilling, And Terrifying Horror, Gory, Gruesome, And Slasher Horror, Gothic And Eerie Haunting Horror, Twisted Dark Psychological Thriller, Show All…"
Dunkirk,2017,"Weighted average of 3.77 based on 1,295,362 ratings",3.8,107 mins   More at IMDB TMDB,"Action, Drama, War, War And Historical Adventure, Epic History And Literature, Bravery In War, Military Combat And Heroic Soldiers, Historical Battles And Epic Heroism, Disastrous Voyages And Heroic Survival, Air Pilot Heroism And Survival, Show All…"
Guardians of the Galaxy Vol. 2,2017,"Weighted average of 3.52 based on 1,384,702 ratings",3.5,137 mins   More at IMDB TMDB,"Action, Science Fiction, Adventure, Epic Heroes, Crude Humor And Satire, Moving Relationship Stories, Monsters, Aliens, Sci-Fi And The Apocalypse, Relationship Comedy, Superheroes In Action-Packed Battles With Villains, Kids' Animated Fun And Adventure, Action-Packed Space And Alien Sagas, Action Comedy And Silly Heroics, Laugh-Out-Loud Relationship Entanglements, Show All…"
Logan,2017,"Weighted average of 4.12 based on 1,054,232 ratings",4.1,137 mins   More at IMDB TMDB,"Drama, Science Fiction, Action, Epic Heroes, Moving Relationship Stories, Superheroes In Action-Packed Battles With Villains, Powerful Stories Of Heartbreak And Suffering, Emotional And Touching Family Dramas, Brutal, Violent Prison Drama, Violent Action, Guns, And Crime, Show All…"
"I, Tonya",2017,"Weighted average of 3.86 based on 835,438 ratings",3.9,120 mins   More at IMDB TMDB,"Drama, Comedy, Moving Relationship Stories, Inspiring Sports Underdog Stories, Underdog Fighting And Boxing Stories, Show All…"
Star Wars: The Last Jedi,2017,"Weighted average of 2.95 based on 1,119,437 ratings",3.0,152 mins   More at IMDB TMDB,"Adventure, Action, Science Fiction, Monsters, Aliens, Sci-Fi And The Apocalypse, Epic Heroes, Superheroes In Action-Packed Battles With Villains, Fantasy Adventure, Heroism, And Swordplay, Action-Packed Space And Alien Sagas, Explosive And Action-Packed Heroes Vs. Villains, Show All…"
The Florida Project,2017,"Weighted average of 4.10 based on 646,873 ratings",4.1,112 mins   More at IMDB TMDB,"Drama, Humanity And The World Around Us, Emotional And Touching Family Dramas, Fascinating, Emotional Stories And Documentaries, Touching And Sentimental Family Stories, Powerful Stories Of Heartbreak And Suffering, Emotional Teen Coming-Of-Age Stories, Show All…"
The Shape of Water,2017,"Weighted average of 3.67 based on 788,333 ratings",3.7,123 mins   More at IMDB TMDB,"Fantasy, Drama, Romance, Humanity And The World Around Us, Moving Relationship Stories, Captivating Relationships And Charming Romance, Emotional LGBTQ Relationships, Surreal And Thought-Provoking Visions Of Life And Death, Challenging Or Sexual Themes & Twists, Emotional And Captivating Fantasy Storytelling, Show All…"
The Killing of a Sacred Deer,2017,"Weighted average of 3.73 based on 602,436 ratings",3.7,121 mins   More at IMDB TMDB,"Thriller, Mystery, Drama, Intense Violence And Sexual Transgression, Horror, The Undead And Monster Classics, Twisted Dark Psychological Thriller, Terrifying, Haunted, And Supernatural Horror, Gothic And Eerie Haunting Horror, Gripping, Intense Violent Crime, Creepy, Chilling, And Terrifying Horror, Show All…"
